dt,sunrise,sunset,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi,snow,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,weather_id,weather_main,weather_description,city_name
2023-02-23 13:00:00,2023-02-23 07:47:07,2023-02-23 18:21:42,1017,80,4.75,5.99,19,10.51,100,0.66,1.2,0.63,,8.22,5.52,8.87,5.52,7.62,7.58,5.6,2.29,4.46,4.82,500.0,Rain,light rain,Amiens
2023-02-24 13:00:00,2023-02-24 07:45:10,2023-02-24 18:23:23,1011,72,2.24,4.76,0,11.38,100,0.02,,1.47,,7.28,1.75,7.28,2.41,5.4,1.83,4.87,-0.66,1.95,-1.1,804.0,Clouds,overcast clouds,Amiens
2023-02-25 13:00:00,2023-02-25 07:43:11,2023-02-25 18:25:03,1015,52,-1.84,7.28,26,12.35,38,0.0,,1.55,,7.52,0.77,7.6,1.91,4.05,1.01,3.73,-1.91,-0.36,-2.29,802.0,Clouds,scattered clouds,Amiens
2023-02-26 13:00:00,2023-02-26 07:41:12,2023-02-26 18:26:44,1024,40,-8.56,10.0,51,17.45,2,0.0,,1.82,,4.15,-0.45,4.55,-0.08,1.17,-0.45,-1.53,-5.04,-3.54,-5.27,800.0,Clear,clear sky,Amiens
2023-02-27 13:00:00,2023-02-27 07:39:11,2023-02-27 18:28:24,1029,39,-8.68,7.75,49,13.46,0,0.0,,2.0,,4.28,-1.79,5.03,-0.07,1.14,-1.79,-0.68,-5.22,-3.46,-7.01,800.0,Clear,clear sky,Amiens
2023-02-28 13:00:00,2023-02-28 07:37:10,2023-02-28 18:30:03,1023,46,-6.08,7.55,58,13.95,4,0.0,,2.0,,4.93,-2.1,6.16,0.9,2.68,-2.1,0.23,-4.41,-2.16,-7.93,800.0,Clear,clear sky,Amiens
2023-02-22 13:00:00,2023-02-22 07:47:16,2023-02-22 18:15:40,1011,66,6.54,4.12,263,8.61,99,0.33,2.51,1.16,,12.62,6.81,12.99,8.77,9.07,7.36,11.66,7.86,7.76,5.43,501.0,Rain,moderate rain,Lille
2023-02-23 13:00:00,2023-02-23 07:45:16,2023-02-23 18:17:24,1017,68,3.92,6.06,14,9.01,100,0.7,1.38,0.83,,9.51,4.72,10.28,4.72,7.18,7.29,7.67,1.41,3.64,4.68,500.0,Rain,light rain,Lille
2023-02-24 13:00:00,2023-02-24 07:43:16,2023-02-24 18:19:08,1010,85,3.28,5.84,349,10.93,100,0.67,0.25,0.63,,5.72,2.53,7.82,4.94,5.02,2.53,3.02,1.29,1.32,0.09,500.0,Rain,light rain,Lille
2023-02-25 13:00:00,2023-02-25 07:41:14,2023-02-25 18:20:52,1015,53,-2.02,6.65,13,10.82,76,0.0,,1.4,,7.02,3.21,7.12,3.21,4.53,4.22,3.33,-0.29,0.5,0.4,803.0,Clouds,broken clouds,Lille
2023-02-26 13:00:00,2023-02-26 07:39:11,2023-02-26 18:22:35,1025,39,-8.63,8.31,47,14.86,8,0.0,,1.66,,4.31,0.43,4.64,0.77,2.11,0.43,-0.82,-3.7,-2.19,-4.53,800.0,Clear,clear sky,Lille
2023-02-27 13:00:00,2023-02-27 07:37:08,2023-02-27 18:24:18,1031,37,-8.85,6.44,52,11.48,1,0.0,,2.0,,4.44,-1.55,5.16,0.37,1.75,-1.55,0.03,-4.23,-2.16,-6.05,800.0,Clear,clear sky,Lille
2023-02-28 13:00:00,2023-02-28 07:35:04,2023-02-28 18:26:01,1024,42,-6.96,7.06,58,13.13,1,0.0,,2.0,,4.83,-1.66,6.48,1.09,3.03,-1.66,0.27,-3.62,-1.32,-7.32,800.0,Clear,clear sky,Lille
2023-02-22 12:00:00,2023-02-22 07:25:08,2023-02-22 18:00:18,1015,59,3.48,2.43,197,3.92,100,0.4,0.29,1.52,,11.14,6.37,12.7,9.96,11.76,6.68,9.85,8.97,10.87,5.36,500.0,Rain,light rain,Strasbourg
2023-02-23 12:00:00,2023-02-23 07:23:17,2023-02-23 18:01:54,1014,73,7.5,2.84,187,5.5,99,0.83,1.56,0.97,,12.28,8.61,13.2,8.61,11.09,8.73,11.47,7.64,10.24,7.5,500.0,Rain,light rain,Strasbourg
